visuals\learn\AnomalyDetectionPrimitive.tsx || 68:88 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AnomalyDetectionPrimitive.tsx || 162:73 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AnomalyDetectionPrimitive.tsx || 162:81 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AnomalyDetectionPrimitive.tsx || 174:58 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\AnomalyDetectionPrimitive.tsx || 174:152 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AnomalyDetectionPrimitive.tsx || 174:159 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AnomalyDetectionPrimitive.tsx || 174:278 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\AttentionPrimitive.tsx || 40:34 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'draw'. Either include it or remove the dep
visuals\learn\AttentionPrimitive.tsx || 106:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 106:107 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 147:29 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 147:51 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 193:53 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\AttentionPrimitive.tsx || 193:136 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 193:140 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 193:153 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 193:157 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 193:163 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\AttentionPrimitive.tsx || 193:167 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\BoundaryMorphingPrimitive.tsx || 3:40 || @typescript-eslint/no-unused-vars || 'useCallback' is defined but never used.
visuals\learn\BoundaryMorphingPrimitive.tsx || 24:27 || @typescript-eslint/no-unused-vars || 'showProbabilityGradient' is assigned a value but never used.
visuals\learn\BoundaryMorphingPrimitive.tsx || 297:23 || @typescript-eslint/no-unused-vars || 'cx' is assigned a value but never used.
visuals\learn\BoundaryMorphingPrimitive.tsx || 298:23 || @typescript-eslint/no-unused-vars || 'cy' is assigned a value but never used.
visuals\learn\BroadcastingPrimitive.tsx || 94:49 || @typescript-eslint/no-unused-vars || 'config' is defined but never used.
visuals\learn\CNNFeaturesPrimitive.tsx || 48:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\CNNFeaturesPrimitive.tsx || 48:117 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\CNNPrimitive.tsx || 123:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\CNNPrimitive.tsx || 123:120 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\CNNPrimitive.tsx || 200:55 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\CentralTendencyPrimitive.tsx || 4:18 || @typescript-eslint/no-unused-vars || 'AnimatePresence' is defined but never used.
visuals\learn\CentralTendencyPrimitive.tsx || 41:12 || @typescript-eslint/no-unused-vars || 'reducedMotion' is assigned a value but never used.
visuals\learn\ClusterFormationPrimitive.tsx || 3:40 || @typescript-eslint/no-unused-vars || 'useRef' is defined but never used.
visuals\learn\ClusteringPrimitive.tsx || 3:29 || @typescript-eslint/no-unused-vars || 'useEffect' is defined but never used.
visuals\learn\ClusteringPrimitive.tsx || 97:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 97:88 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 150:95 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 150:97 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 152:78 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 152:91 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 164:60 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\ClusteringPrimitive.tsx || 164:116 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 164:124 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 164:165 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ClusteringPrimitive.tsx || 164:180 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\CodeEditor.tsx || 175:29 || @next/next/no-img-element || Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` 
visuals\learn\CommonDistributionsPrimitive.tsx || 22:10 || @typescript-eslint/no-unused-vars || 'factorial' is defined but never used.
visuals\learn\CommonDistributionsPrimitive.tsx || 104:34 || prefer-const || 'yMax' is never reassigned. Use 'const' instead.
visuals\learn\CommonDistributionsPrimitive.tsx || 159:21 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
visuals\learn\CommonDistributionsPrimitive.tsx || 180:23 || @typescript-eslint/no-unused-vars || 'barW' is assigned a value but never used.
visuals\learn\ConditionalProbabilityPrimitive.tsx || 3:46 || @typescript-eslint/no-unused-vars || 'useCallback' is defined but never used.
